"MetaCyc"	meta
"Acinetobacter baumannii ABNIH3"	abau992404
"Acinetobacter baumannii AB_1536-8"	abau1221244
"Acinetobacter baumannii AB_1582-8"	abau1221245
"Acinetobacter baumannii AB_1583-8"	abau1221246
"Acinetobacter baumannii AB_1594-8"	abau1221247
"Acinetobacter baumannii AB_1595-8"	abau1221248
"Acinetobacter baumannii AB_1649-8"	abau1221249
"Acinetobacter baumannii AB_1650-8"	abau1221250
"Acinetobacter baumannii AB_1766_8"	abau1221251
"Acinetobacter baumannii AB_2007-09-110-01-7"	abau1221252
"Acinetobacter baumannii AB_2007-16-25-01-7"	abau1221253
"Acinetobacter baumannii AB_2007-16-27-01"	abau1221254
"Acinetobacter baumannii AB_2008-15-34-7"	abau1221255
"Acinetobacter baumannii AB_2008-15-45"	abau1221256
"Acinetobacter baumannii AB_2008-15-52"	abau1221257
"Acinetobacter baumannii AB_2008-15-69"	abau1221258
"Acinetobacter baumannii AB_2008-15-70"	abau1221259
"Acinetobacter baumannii AB_2008-15-71"	abau1221260
"Acinetobacter baumannii AB_2008-23-01-01-7"	abau1221261
"Acinetobacter baumannii AB_2009-04-01-7"	abau1221263
"Acinetobacter baumannii AB_515-8"	abau1221265
"Acinetobacter baumannii AB_908-12"	abau1221266
"Acinetobacter baumannii AB_908-14-7"	abau1221268
"Acinetobacter baumannii AB_909-01-7"	abau1221269
"Acinetobacter baumannii AB_909-02-7"	abau1221270
"Acinetobacter baumannii AB_909-05"	abau1221271
"Acinetobacter baumannii AB_TG19617"	abau1221273
"Acinetobacter baumannii AB_TG2018"	abau1221274
"Acinetobacter baumannii AB_TG2023"	abau1221276
"Acinetobacter baumannii AB_TG2028"	abau1221278
"Acinetobacter baumannii AB_TG2030"	abau1221279
"Acinetobacter baumannii AB_TG2031"	abau1221280
"Acinetobacter baumannii AB_TG2032"	abau1221281
"Acinetobacter baumannii AB_TG2631"	abau1221282
"Acinetobacter baumannii AB_TG27323"	abau1221283
"Acinetobacter baumannii AB_TG27327"	abau1221284
"Acinetobacter baumannii AB_TG27331"	abau1221285
"Acinetobacter baumannii AB_TG27335"	abau1221286
"Acinetobacter baumannii AB_TG27339"	abau1221287
"Acinetobacter baumannii AB_TG27343"	abau1221288
"Acinetobacter baumannii AC12"	abau1198108
"Acinetobacter baumannii ACICU"	abau405416
"Acinetobacter baumannii ATCC 17978"	abau400667
"Acinetobacter baumannii ATCC 19606 = CIP 70.34"	abau575584-hmp
"Acinetobacter baumannii AYE"	abau509173
"Acinetobacter baumannii BJAB07104"	abau1096995
"Acinetobacter baumannii BJAB0715"	abau1096996
"Acinetobacter baumannii BJAB0868"	abau1096997
"Acinetobacter baumannii Canada BC-5"	abau903895
"Acinetobacter baumannii Canada BC1"	abau903924
"Acinetobacter baumannii D1279779"	abau945556
"Acinetobacter baumannii IS-116"	abau903912
"Acinetobacter baumannii IS-123"	abau903899
"Acinetobacter baumannii IS-143"	abau903911
"Acinetobacter baumannii IS-235"	abau903905
"Acinetobacter baumannii IS-251"	abau903906
"Acinetobacter baumannii IS-58"	abau903914
"Acinetobacter baumannii MDR-TJ"	abau889738
"Acinetobacter baumannii MDR-ZJ06"	abau497978
"Acinetobacter baumannii MSP4-16"	abau1278070
"Acinetobacter baumannii Naval-13"	abau903904
"Acinetobacter baumannii Naval-17"	abau903896
"Acinetobacter baumannii Naval-18"	abau903897
"Acinetobacter baumannii Naval-2"	abau903922
"Acinetobacter baumannii Naval-21"	abau903923
"Acinetobacter baumannii Naval-57"	abau903927
"Acinetobacter baumannii Naval-72"	abau903908
"Acinetobacter baumannii Naval-78"	abau903936
"Acinetobacter baumannii Naval-81"	abau903898
"Acinetobacter baumannii Naval-82"	abau903921
"Acinetobacter baumannii Naval-83"	abau903909
"Acinetobacter baumannii OIFC0162"	abau903907
"Acinetobacter baumannii OIFC021"	abau903928
"Acinetobacter baumannii OIFC032"	abau903890
"Acinetobacter baumannii OIFC035"	abau903926
"Acinetobacter baumannii OIFC047"	abau903933
"Acinetobacter baumannii OIFC065"	abau903932
"Acinetobacter baumannii OIFC074"	abau903901
"Acinetobacter baumannii OIFC087"	abau903929
"Acinetobacter baumannii OIFC099"	abau903930
"Acinetobacter baumannii OIFC137"	abau903889
"Acinetobacter baumannii OIFC143"	abau903893
"Acinetobacter baumannii OIFC180"	abau903903
"Acinetobacter baumannii OIFC189"	abau903894
"Acinetobacter baumannii OIFC338"	abau903934
"Acinetobacter baumannii SDF"	abau509170
"Acinetobacter baumannii TCDC-AB0715"	abau980514
"Acinetobacter baumannii TG19582"	abau1221292
"Acinetobacter baumannii TYTH-1"	abau1100841
"Acinetobacter baumannii UMB001"	abau933263
"Acinetobacter baumannii UMB003"	abau933265
"Acinetobacter baumannii W7282"	abau981329
"Acinetobacter baumannii WC-136"	abau903916
"Acinetobacter baumannii WC-692"	abau903913
"Acinetobacter baumannii ZW85-1"	abau1400867
"Acinetobacter baumannii ZWS1122"	abau1223564
"Acinetobacter baylyi DSM 14961 = CIP 107474"	gcf_000368685
"Acinetobacter bereziniae LMG 1003"	aber981324
"Acinetobacter bohemicus ANC 3994"	gcf_000367925
"Acinetobacter bouvetii DSM 14964 = CIP 107468"	gcf_000368865
"Acinetobacter brisouii CIP 110357"	gcf_000488275
"Acinetobacter calcoaceticus PHEA-2"	acal871585
"Acinetobacter calcoaceticus RUH2202"	acal575585-hmp
"Acinetobacter gerneri DSM 14967 = CIP 107464"	gcf_000368565
"Acinetobacter gyllenbergii NIPH 230"	gcf_000488195
"Acinetobacter haemolyticus ATCC 19194"	ahae707232-hmp
"Acinetobacter indicus CIP 110367"	gcf_000488255
"Acinetobacter johnsonii SH046"	ajoh575586-hmp
"Acinetobacter junii SH205"	ajun575587-hmp
"Acinetobacter lwoffii SH145"	alwo575588-hmp
"Acinetobacter lwoffii WJ10621"	alwo1046625
"Acinetobacter nectaris CIP 110549"	gcf_000488215
"Acinetobacter nosocomialis Ab22222"	anos1183155
"Acinetobacter oleivorans DR1"	aole436717
"Acinetobacter parvus DSM 16617 = CIP 108168"	apar981333
"Acinetobacter radioresistens SH164"	arad575589-hmp
"Acinetobacter radioresistens SK82"	arad596318-hmp
"Acinetobacter rudis CIP 110305"	gcf_000413895
"Acinetobacter schindleri CIP 107287"	gcf_000368625
"Acinetobacter sp. ADP1"	asp62977
"Acinetobacter sp. ATCC 27244"	asp525244-hmp
"Acinetobacter sp. HA"	asp1173062
"Acinetobacter sp. NBRC 100985"	asp1071390
"Acinetobacter sp. NCTC 10304"	asp981224
"Acinetobacter sp. P8-3-8"	asp1029823
"Acinetobacter sp. RUH2624"	asp575564-hmp
"Acinetobacter sp. SH024"	asp575565-hmp
"Acinetobacter sp. WC-743"	asp903945
"Acinetobacter tandoii DSM 14970 = CIP 107469"	gcf_000400735
"Acinetobacter towneri DSM 14962 = CIP 107472"	gcf_000368785
"Acinetobacter ursingii DSM 16037 = CIP 107286"	gcf_000368825
"Actibacterium atlanticum"	gcf_000671395
"Actibacterium mucosum KCTC 23349"	gcf_000647975
"Actinoalloteichus cyanogriseus DSM 43889"	gcf_000429185
"Actinobacillus equuli equuli"	gcf_000801145
"Actinobacillus minor NM305"	amin637911
"Actinobacillus pleuropneumoniae serovar 1 str. 4074"	aple228399
"Actinobacillus pleuropneumoniae serovar 11 str. 56153"	aple754260
"Actinobacillus pleuropneumoniae serovar 12 str. 1096"	aple754261
"Actinobacillus pleuropneumoniae serovar 13 str. N273"	aple754262
"Actinobacillus pleuropneumoniae serovar 3 str. JL03"	aple434271
"Actinobacillus pleuropneumoniae serovar 5b str. L20"	aple416269
"Actinobacillus pleuropneumoniae serovar 7 str. AP76"	aple537457
"Actinobacillus succinogenes 130Z"	asuc339671
"Actinobacillus suis H91-0380"	asui696748
"Actinobacillus ureae ATCC 25976"	aure887324-hmp
"Actinobaculum massiliae ACS-171-V-Col2"	amas883066-hmp
"Actinocatenispora sera"	gcf_000720965
"Actinokineospora enzanensis DSM 44649"	gcf_000374445
"Actinokineospora inagensis DSM 44258"	gcf_000482865
"Actinomadura atramentaria DSM 43919"	gcf_000381885
"Actinomadura flavalba DSM 45200"	gcf_000374305
"Actinomadura madurae LIID-AJ290"	gcf_000468475
"Actinomadura oligospora ATCC 43269"	gcf_000518265
"Actinomadura rifamycini DSM 43936"	gcf_000425065
"Actinomyces cardiffensis F0333"	gcf_000364865
"Actinomyces coleocanis DSM 15436"	acol525245-hmp
"Actinomyces dentalis DSM 19115"	gcf_000429225
"Actinomyces europaeus ACS-120-V-Col10b"	gcf_000411155
"Actinomyces georgiae DSM 6843"	gcf_000429245
"Actinomyces gerencseriae DSM 6844"	gcf_000429265
"Actinomyces graevenitzii C83"	agra435830-hmp
"Actinomyces israelii DSM 43320"	gcf_000711965
"Actinomyces massiliensis 4401292"	gcf_000269805
"Actinomyces naeslundii Howell 279"	anae1115803
"Actinomyces neuii BVS029A5"	aneu888439-hmp
"Actinomyces odontolyticus F0309"	aodo649742-hmp
"Actinomyces slackii ATCC 49928"	gcf_000428685
"Actinomyces sp. oral taxon 170 F0386"	asp762963-hmp
"Actinomyces sp. oral taxon 171 F0337"	asp706439-hmp
"Actinomyces sp. oral taxon 175 F0384"	asp944560-hmp
"Actinomyces sp. oral taxon 178 F0338"	asp888051-hmp
"Actinomyces sp. oral taxon 180 F0310"	asp888052-hmp
"Actinomyces sp. oral taxon 448 F0400"	asp888056-hmp
"Actinomyces sp. oral taxon 848 F0332"	asp649743-hmp
"Actinomyces sp. oral taxon 849 F0330"	asp653386-hmp
"Actinomyces suimastitidis DSM 15538"	gcf_000429105
"Actinomyces timonensis DSM 23838"	gcf_000295095
"Actinomyces turicensis ACS-279-V-Col4"	atur883077-hmp
"Actinomyces urogenitalis DSM 15434"	auro525246-hmp
"Actinomyces vaccimaxillae DSM 15804"	gcf_000420425
"Actinomyces viscosus C505"	avis562973-hmp
"Actinomycetospora chiangmaiensis DSM 45062"	gcf_000379625
"Actinoplanes friuliensis DSM 7358"	afri1246995
"Actinoplanes globisporus DSM 43857"	gcf_000379645
"Actinoplanes missouriensis 431"	amis512565
"Actinoplanes sp. N902-109"	asp649831
"Actinoplanes sp. SE50/110"	asp134676
"Actinopolymorpha alba DSM 45243"	gcf_000373925
"Actinopolyspora erythraea"	gcf_000763095
"Actinopolyspora halophila DSM 43834"	gcf_000371785
"Actinopolyspora mortivallis DSM 44261"	gcf_000384035
"Actinospica robiniae DSM 44927"	gcf_000504285
"Actinosynnema mirum DSM 43827"	amir446462
"Actinotignum schaalii"	gcf_000724605
"Actinotignum urinale DSM 15805"	gcf_000420445
"Adhaeribacter aquaticus DSM 16391"	gcf_000473365
"Adlercreutzia equolifaciens DSM 19450"	aequ1384484
"Advenella kashmirensis WT001"	akas1036672
"Advenella mimigardefordensis DPN7"	gcf_000521505
"Aequorivita capsosiphonis DSM 23843"	gcf_000429125
"Aequorivita sublithincola DSM 14238"	asub746697
"Aerococcus urinae ACS-120-V-Col10a"	auri866775-hmp
"Aerococcus urinaeequi DSM 20341"	gcf_000425085
"Aerococcus viridans ATCC 11563"	avir655812-hmp
"Aeromicrobium marinum DSM 15272"	amar585531-hmp
"Aeromonas diversa 2478-85"	gcf_000367845
"Aeromonas hydrophila hydrophila ATCC 7966"	ahyd380703
"Aeromonas hydrophila ML09-119"	ahyd1288394
"Aeromonas media WS"	gcf_000287215
"Aeromonas molluscorum 848"	gcf_000388115
"Aeromonas salmonicida salmonicida A449"	asal382245
"Aeromonas veronii AMC35"	aver1073385
"Aeromonas veronii B565"	aver998088
"Aeropyrum camini SY1 = JCM 12091"	acam1198449
"Aeropyrum pernix K1"	aper272557
"Aestuariibacter salexigens DSM 15300"	gcf_000429145
"Aestuariimicrobium kwangyangense DSM 21549"	gcf_000421525
"Afifella pfennigii DSM 17143"	gcf_000688515
"Afipia birgiae 34632"	gcf_000308295
"Afipia broomeae ATCC 49717"	abro883078-hmp
"Afipia clevelandensis ATCC 49720"	acle883079-hmp
"Afipia felis ATCC 53690"	afel883080-hmp
"Afipia sp. 1NLS2"	asp666684
"Agarivorans albus MKT 106"	gcf_000414175
"Aggregatibacter actinomycetemcomitans ANH9381"	aact754507
"Aggregatibacter actinomycetemcomitans D11S-1"	aact668336
"Aggregatibacter actinomycetemcomitans D7S-1"	aact694569
"Aggregatibacter actinomycetemcomitans RhAA1"	aact1089447
"Aggregatibacter actinomycetemcomitans serotype a str. A160"	aact1167007
"Aggregatibacter actinomycetemcomitans serotype b str. SCC4092"	aact1167009
"Aggregatibacter actinomycetemcomitans serotype c str. AAS4A"	aact1167010
"Aggregatibacter actinomycetemcomitans Y4"	aact1035194-hmp
"Aggregatibacter aphrophilus F0387"	aaph679198-hmp
"Aggregatibacter aphrophilus NJ8700"	aaph634176
"Aggregatibacter segnis ATCC 33393"	aseg888057-hmp
"Agrobacterium albertimagni AOL15"	aalb1156935
"Agrobacterium fabrum C58"	agro
"Agrobacterium radiobacter K84"	arad311403
"Agrobacterium rhizogenes"	gcf_000745735
"Agrobacterium sp. H13-3"	gcf_000192635
"Agrobacterium sp. H13-3"	asp861208
"Agrobacterium tumefaciens CCNWGS0286"	atum1082932
"Agrobacterium vitis S4"	avit311402
"Agrococcus lahaulensis DSM 17612"	gcf_000425105
"Agromyces italicus DSM 16388"	gcf_000421545
"Agromyces subbeticus DSM 16689"	gcf_000421565
"Akkermansia muciniphila ATCC BAA-835"	amuc349741
"Alcaligenes faecalis faecalis NCIB 8687"	afae1156918
"Alcanivorax borkumensis SK2"	abor393595
"Alcanivorax dieselolei B5"	adie930169
"Alcanivorax hongdengensis A-11-3"	gcf_000300995
"Alcanivorax jadensis T9"	gcf_000756655
"Alcanivorax pacificus W11-5"	gcf_000299335
"Algibacter lectus"	gcf_000764755
"Algicola sagamiensis DSM 14643"	gcf_000374485
"Algiphilus aromaticivorans DG1253"	gcf_000733765
"Algoriphagus machipongonensis"	gcf_000166275
"Algoriphagus mannitolivorans DSM 15301"	gcf_000429425
"Algoriphagus marincola HL-49"	gcf_000526355
"Algoriphagus terrigena DSM 22685"	gcf_000429445
"Algoriphagus vanfongensis DSM 17529"	gcf_000429465
"Aliagarivorans marinus DSM 23064"	gcf_000429485
"Alicycliphilus denitrificans BC"	aden596153
"Alicycliphilus denitrificans K601"	aden596154
"Alicyclobacillus acidocaldarius acidocaldarius DSM 446"	aaci521098
"Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1"	aaci1048834
"Alicyclobacillus acidoterrestris ATCC 49025"	gcf_000444055
"Alicyclobacillus contaminans DSM 17975"	gcf_000429525
"Alicyclobacillus herbarius DSM 13609"	gcf_000430585
"Alicyclobacillus hesperidum URH17-3-68"	gcf_000294675
"Alicyclobacillus macrosporangiidus CPP55"	gcf_000702485
"Alicyclobacillus pomorum DSM 14955"	gcf_000472905
"Aliiglaciecola lipolytica E3"	gcf_000314975
"Aliivibrio salmonicida LFI1238"	asal316275
"Aliivibrio wodanis"	gcf_000953695
"Alishewanella aestuarii B11"	aaes1197174
"Alishewanella agri BL06"	aagr1195246
"Alistipes finegoldii DSM 17242"	afin679935
"Alistipes indistinctus YIT 12060"	aind742725-hmp
"Alistipes putredinis DSM 17216"	gcf_000154465
"Alistipes senegalensis JC50"	gcf_000312145
"Alistipes shahii WAL 8301"	asha717959
"Alistipes sp. HGB5"	asp908612-hmp
"Alkalibacillus haloalkaliphilus C5"	gcf_000269905
"Alkaliflexus imshenetskii DSM 15055"	gcf_000517065
"Alkalilimnicola ehrlichii MLHE-1"	aehr187272
"Alkaliphilus metalliredigens QYMF"	amet293826
"Alkaliphilus oremlandii OhILAs"	aore350688
"Alkaliphilus transvaalensis ATCC 700919"	gcf_000621485
"Alkanindiges illinoisensis DSM 15370"	gcf_000619845
"Allobaculum stercoricanis DSM 13633"	gcf_000384195
"Allochromatium vinosum DSM 180"	avin572477
"Allofustis seminis DSM 15817"	gcf_000374325
"Alloiococcus otitis ATCC 51267"	aoti883081-hmp
"Allokutzneria albata"	gcf_000720955
"Alloprevotella rava F0323"	arav679199-hmp
"Alloprevotella tannerae ATCC 51259"	ptan626522-hmp
"Alloscardovia criceti DSM 17774"	gcf_000376885
"Alloscardovia omnicolens F0580"	gcf_000466365
"alpha proteobacterium BAL199"	apro331869
"alpha proteobacterium HIMB5"	apro859653
"alpha proteobacterium HIMB59"	apro744985
"Alteromonas australica DE170"	gcf_000934525
"Alteromonas australica H 17"	gcf_000730385
"Alteromonas macleodii Aegean Sea MED64"	amac1300254
"Alteromonas macleodii AltDE1"	amac1004786
"Alteromonas macleodii ATCC 27126"	amac529120
"Alteromonas macleodii Balearic Sea AD45"	amac1004787
"Alteromonas macleodii Black Sea 11"	amac1004785
"Alteromonas macleodii Deep ecotype"	amac314275
"Alteromonas macleodii English Channel 615"	amac1300253
"Alteromonas macleodii English Channel 673"	amac1004788
"Alteromonas macleodii Ionian Sea U4"	amac1300255
"Alteromonas macleodii Ionian Sea U7"	amac1300256
"Alteromonas macleodii Ionian Sea U8"	amac1300257
"Alteromonas macleodii Ionian Sea UM4b"	amac1300259
"Alteromonas macleodii Ionian Sea UM7"	amac1300258
"Alteromonas sp. SN2"	asp715451
"Altibacter lentus"	gcf_000746845
"Alysiella crassa DSM 2578"	gcf_000745955
"Aminiphilus circumscriptus DSM 16581"	gcf_000526375
"Aminobacterium colombiense DSM 12261"	acol572547
"Aminobacterium mobile DSM 12262"	gcf_000526395
"Aminomonas paucivorans DSM 12260"	gcf_000165795
"Ammonifex degensii KC4"	adeg429009
"Amorphus coralli DSM 19760"	gcf_000374525
"Amphibacillus jilinensis Y1"	gcf_000306965
"Amphibacillus xylanus NBRC 15112"	axyl698758
"Amphritea japonica ATCC BAA-1530"	gcf_000381785
"Amycolatopsis benzoatilytica AK 16/65"	gcf_000383915
"Amycolatopsis halophila YIM 93223"	gcf_000504245
"Amycolatopsis japonica"	gcf_000732925
"Amycolatopsis jejuensis"	gcf_000717335
"Amycolatopsis mediterranei RB"	amed1221524
"Amycolatopsis mediterranei S699"	amed713604
"Amycolatopsis mediterranei U32"	amed749927
"Amycolatopsis methanolica 239"	gcf_000739085
"Amycolatopsis nigrescens CSC17Ta-90"	gcf_000384315
"Amycolatopsis orientalis HCCB10007"	aori1156913
"Amycolatopsis sp. ATCC 39116"	asp385957
"Amycolatopsis taiwanensis DSM 45107"	gcf_000519205
"Amycolatopsis vancoresmycina"	gcf_000716785
"Amycolicicoccus subflavus DQS3-9A1"	asub443218
"Anabaena cylindrica PCC 7122"	acyl272123
"Anabaena sp. 90"	asp46234
"Anabaena variabilis ATCC 29413"	avar240292
"Anaeroarcus burkinensis DSM 6283"	gcf_000430605
"Anaerobaculum hydrogeniformans ATCC BAA-1850"	ahyd592015-hmp
"Anaerobaculum mobile DSM 13181"	amob891968
"Anaerobiospirillum succiniciproducens DSM 6400"	gcf_000482845
"Anaerococcus hydrogenalis ACS-025-V-Sch4"	ahyd879306-hmp
"Anaerococcus lactolyticus ATCC 51172"	alac525254-hmp
"Anaerococcus obesiensis ph10"	gcf_000311745
"Anaerococcus prevotii ACS-065-V-Col13"	apre879305-hmp
"Anaerococcus prevotii DSM 20548"	apre525919
"Anaerococcus senegalensis JC48"	gcf_000321005
"Anaerococcus tetradius ATCC 35098"	atet525255-hmp
"Anaerococcus vaginalis ATCC 51170"	avag655811-hmp
"Anaerofustis stercorihominis DSM 17244"	gcf_000154825
"Anaeroglobus geminatus F0357"	agem861450-hmp
"Anaerolinea thermophila UNI-1"	athe926569
"Anaeromyxobacter dehalogenans 2CP-1"	adeh455488
"Anaeromyxobacter dehalogenans 2CP-C"	adeh290397
"Anaeromyxobacter sp. Fw109-5"	asp404589
"Anaeromyxobacter sp. K"	asp447217
"Anaerophaga thermohalophila DSM 12881"	gcf_000191885
"Anaerostipes caccae DSM 14662"	gcf_000154305
"Anaerostipes hadrus"	bbac245018
"Anaerostipes hadrus DSM 3319"	ahad649757-hmp
"Anaerostipes sp. 3_2_56FAA"	asp665937-hmp
"Anaerotruncus colihominis DSM 17241"	gcf_000154565
"Anaerovibrio lipolyticus LB2005"	gcf_000621545
"Anaplasma centrale Israel"	acen574556
"Anaplasma marginale Dawn"	amar1412841
"Anaplasma marginale Florida"	amar320483
"Anaplasma marginale Gypsy Plains"	amar1412840
"Anaplasma marginale Mississippi"	amar517436
"Anaplasma marginale Puerto Rico"	amar517437
"Anaplasma marginale St. Maries"	amar234826
"Anaplasma phagocytophilum Dog2"	apha1184254
"Anaplasma phagocytophilum HZ"	apha212042
"Anaplasma phagocytophilum HZ2"	apha1184253
"Anaplasma phagocytophilum JM"	apha1173064
"Anditalea andensis"	gcf_000714815
"Andreprevotia chitinilytica DSM 18519"	gcf_000711875
"Aneurinibacillus aneurinilyticus ATCC 12856"	gcf_000466385
"Aneurinibacillus terranovensis DSM 18919"	gcf_000430625
"Anoxybacillus flavithermus WK1"	afla491915
"Anoxybacillus tepidamans PS2"	gcf_000620165
"Aphanizomenon flos-aquae NIES-81"	gcf_000521175
"Aquamicrobium defluvii"	gcf_000585625
"Aquaspirillum serpens DSM 68"	gcf_000420525
"Aquifex aeolicus VF5"	aaeo224324
"Aquimarina agarilytica ZC1"	gcf_000255455
"Aquimarina latercula DSM 2041"	gcf_000430645
"Aquimarina macrocephali JAMB N27"	gcf_000520995
"Aquimarina muelleri DSM 19832"	gcf_000430665
"Arabidopsis thaliana col"	ara
"Arcanobacterium haemolyticum DSM 20595"	ahae644284
"Archaeoglobus fulgidus DSM 4304"	aful224325
"Archaeoglobus profundus DSM 5631"	apro572546
"Archaeoglobus sulfaticallidus PM70-1"	asul387631
"Archaeoglobus veneficus SNP6"	aven693661
"Arcobacter butzleri 7h1h"	abut1036172
"Arcobacter butzleri ED-1"	abut944546
"Arcobacter butzleri JV22"	abut888827-hmp
"Arcobacter butzleri RM4018"	abut367737
"Arcobacter cibarius LMG 21996"	gcf_000522465
"Arcobacter nitrofigilis DSM 7299"	anit572480
"Arcobacter sp. L"	asp944547
"Arcticibacter svalbardensis MN12-7"	gcf_000403135
"Arenibacter algicola"	gcf_000733925
"Arenibacter certesii DSM 19833"	gcf_000429545
"Arenibacter latericius DSM 15913"	gcf_000424985
"Arenimonas composti TR7-09 = DSM 18010"	gcf_000426365
"Arenimonas donghaensis DSM 18148 = HO3-R19"	gcf_000743535
"Arenimonas malthae CC-JY-1"	gcf_000747075
"Arenimonas metalli CF5-1"	gcf_000747155
"Arenimonas oryziterrae DSM 21050 = YC6267"	gcf_000420545
"Arenitalea lutea"	gcf_000283015
"Arhodomonas aquaeolei DSM 8974"	gcf_000374645
"Aromatoleum aromaticum EbN1"	aaro76114
